ticker,open,high,low,close,volume,vwap,t,transactions,otc
AAPL,189.445,189.445,189.445,189.445,117.0,189.445,1701102541000,7,
AAPL,189.4441,189.445,189.4441,189.445,1561.0,189.4449,1701102542000,6,
AAPL,189.45,189.45,189.445,189.445,1980.0,189.4475,1701102543000,7,
AAPL,189.45,189.46,189.45,189.46,1839.0,189.4504,1701102544000,35,
AAPL,189.45,189.45,189.4499,189.4499,1517.0,189.4495,1701102545000,18,
AAPL,189.45,189.46,189.45,189.45,2553.0,189.4542,1701102546000,44,
AAPL,189.44,189.45,189.44,189.45,1287.0,189.4415,1701102547000,32,
AAPL,189.4431,189.4431,189.4431,189.4431,248.0,189.4413,1701102549000,4,
AAPL,189.44,189.44,189.44,189.44,822.0,189.4404,1701102550000,20,
AAPL,189.43,189.435,189.43,189.435,1164.0,189.4322,1701102552000,22,
AAPL,189.44,189.44,189.4325,189.4325,691.0,189.4367,1701102554000,7,
AAPL,189.435,189.435,189.43,189.4301,754.0,189.432,1701102556000,15,
AAPL,189.44,189.44,189.435,189.44,3430.0,189.4396,1701102557000,34,
AAPL,189.44,189.445,189.44,189.445,1121.0,189.4445,1701102558000,4,
AAPL,189.45,189.45,189.45,189.45,848.0,189.4507,1701102559000,18,
AAPL,189.46,189.46,189.46,189.46,126.0,189.46,1701102561000,4,
AAPL,189.46,189.4673,189.46,189.4673,492.0,189.4663,1701102562000,21,
AAPL,189.465,189.465,189.46,189.46,1485.0,189.462,1701102563000,7,
AAPL,189.46,189.4605,189.46,189.46,1335.0,189.4602,1701102564000,8,
AAPL,189.46,189.46,189.45,189.45,606.0,189.4584,1701102565000,11,
AAPL,189.4554,189.4554,189.4554,189.4554,633.0,189.4554,1701102566000,6,
AAPL,189.45,189.45,189.45,189.45,2045.0,189.4501,1701102567000,6,
AAPL,189.4588,189.4588,189.4588,189.4588,1004.0,189.4588,1701102568000,5,
