ts_recv,raw_symbol,expiration,instrument_class,strike_price,underlying,instrument_id,time,diff
1712275200000000000,"UD:1V: VT 2681369",1712354340000000000,"T",9223372036.854776,"",2681369,1721398215586,1
1712275200000000000,"ESH6 P2500",1774013400000000000,"P",2500.0,"ESH6",42428996,1721398215586,1
1712275200000000000,"UD:1V: DG 2621242",1712354340000000000,"T",9223372036.854776,"",2621242,1721398215586,1
1712325605971152393,"UD:1V: XT 2791224",1712354340000000000,"T",9223372036.854776,"",2791224,1721398215586,1
1712275200000000000,"UD:1V: GN 2765201",1712354340000000000,"T",9223372036.854776,"",2765201,1721398215586,1
1712275200000000000,"ESM5 P3800",1750426200000000000,"P",3800.0,"ESM5",638226,1721398215586,1
1712275200000000000,"UD:1V: VT 2722164",1712354340000000000,"T",9223372036.854776,"",2722164,1721398215586,1
1712275200000000000,"ESZ8 P4200",1860503400000000000,"P",4200.0,"ESZ8",42345239,1721398215586,1
1712275200000000000,"ESU5 C2900",1758288600000000000,"C",2900.0,"ESU5",42195924,1721398215586,1
1712275200000000000,"UD:1V: ST 2621166",1712354340000000000,"T",9223372036.854776,"",2621166,1721398215586,1
1712275200000000000,"ESZ8 P3800",1860503400000000000,"P",3800.0,"ESZ8",42345237,1721398215586,1
1712275200000000000,"UD:1V: VT 2741161",1712354340000000000,"T",9223372036.854776,"",2741161,1721398215586,1
